make,model,fuel,kms,power,shift,price,location,codigopostalid,provincia,poblacion
Citroen,C4 Cactus,Diésel,73000.0,99.0,manual,375,Madrid,28006,Madrid,Madrid
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,102828.0,100.0,automatic,14750,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Gasolina,78886.0,130.0,manual,16560,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Diésel,102828.0,100.0,automatic,14750,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Gasolina,78886.0,130.0,manual,16560,Ciudad Real,13003,Ciudad Real,Ciudad Real
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Diésel,102828.0,100.0,automatic,14750,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Gasolina,78886.0,130.0,manual,16560,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,102828.0,100.0,automatic,14750,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Diésel,102828.0,100.0,automatic,14750,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Gasolina,78886.0,130.0,manual,16560,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Gasolina,78886.0,130.0,manual,16560,Valdepeñas,13300,Ciudad Real,Valdepeñas
Citroen,C4 Cactus,Gasolina,62441.0,110.0,automatic,15300,Valladolid,47004,Valladolid,Valladolid
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Saladar,3700,Alicante,Saladar
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Saladar,3700,Alicante,Saladar
Citroen,C4 Cactus,Diésel,120998.0,100.0,automatic,12823,Saladar,3700,Alicante,Saladar
Citroen,C4 Cactus,Diésel,142881.0,100.0,manual,13788,Saladar,3700,Alicante,Saladar
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12089,Mercado Parque Corredor del Henares,28850,Madrid,Mercado Parque Corredor del Henares
Citroen,C4 Cactus,Diésel,110334.0,100.0,automatic,12485,Mercado Parque Corredor del Henares,28850,Madrid,Mercado Parque Corredor del Henares
Audi,A4,Diésel,238000.0,190.0,automatic,16700,Mataró,8302,Barcelona,Mataró
Audi,A7,Diésel,243000.0,272.0,automatic,24999,Sevilla,41001,Sevilla,Sevilla
Audi,A7,Diésel,162800.0,245.0,automatic,23999,Parla,28980,Madrid,Parla
Audi,TT,Gasolina,118900.0,230.0,automatic,29900,Castelldefels,8860,Barcelona,Castelldefels
Citroen,Jumper,Diésel,117000.0,120.0,manual,20247,Ripollet,8291,Barcelona,Ripollet
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Sevilla,41005,Sevilla,Sevilla
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Sevilla,41005,Sevilla,Sevilla
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Alicante,3010,Alicante,Alicante
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Alicante,3010,Murcia,Alicante
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Alicante,3010,Alicante,Alicante
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Alicante,3010,Murcia,Alicante
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Vigo,36211,Pontevedra,Vigo
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Vigo,36211,Pontevedra,Vigo
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Almería,4006,Almería,Almería
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Almería,4006,Almería,Almería
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Alicante,3010,Alicante,Alicante
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Alicante,3010,Murcia,Alicante
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Alicante,3010,Alicante,Alicante
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Alicante,3010,Murcia,Alicante
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Vigo,36211,Pontevedra,Vigo
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Vigo,36211,Pontevedra,Vigo
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Almería,4006,Almería,Almería
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Almería,4006,Almería,Almería
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Sevilla,41005,Sevilla,Sevilla
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Vigo,36211,Pontevedra,Vigo
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Alicante,3010,Alicante,Alicante
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Alicante,3010,Murcia,Alicante
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Bilbao,48004,Bizkaia,Bilbao
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Bilbao,48004,Bizkaia,Bilbao
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Almería,4006,Almería,Almería
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Bilbao,48004,Bizkaia,Bilbao
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Bilbao,48004,Bizkaia,Bilbao
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Bilbao,48004,Bizkaia,Bilbao
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Sevilla,41017,Sevilla,Sevilla
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Málaga,29005,Málaga,Málaga
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Málaga,29005,Málaga,Málaga
Citroen,C4 Picasso,Diésel,133642.0,115.0,automatic,8990,Jaén,23008,Jaén,Jaén
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,11280,Murcia,30005,Murcia,Murcia
Citroen,C4 Picasso,Diésel,135000.0,99.0,manual,10990,Murcia,30005,Murcia,Murcia
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,15990,Murcia,30005,Murcia,Murcia
Citroen,C4 Picasso,Diésel,44593.0,150.0,manual,14890,Murcia,30005,Murcia,Murcia
Opel,Astra,Diésel,70988.0,110.0,manual,12990,Sant Vicenç de Montalt,8394,Barcelona,Sant Vicenç de Montalt
Opel,Astra,Diésel,70988.0,110.0,manual,12990,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Opel,Astra,Diésel,92297.0,136.0,manual,9990,Sevilla,41005,Sevilla,Sevilla
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Sevilla,41005,Sevilla,Sevilla
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Sevilla,41005,Sevilla,Sevilla
Opel,Astra,Diésel,92297.0,136.0,manual,9990,Alicante,3010,Alicante,Alicante
Opel,Astra,Diésel,92297.0,136.0,manual,9990,Alicante,3010,Murcia,Alicante
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Alicante,3010,Alicante,Alicante
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Alicante,3010,Murcia,Alicante
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Alicante,3010,Alicante,Alicante
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Alicante,3010,Murcia,Alicante
Opel,Astra,Diésel,92297.0,136.0,manual,9990,Almería,4006,Almería,Almería
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Almería,4006,Almería,Almería
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Granada,18005,Granada,Granada
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Almería,4006,Almería,Almería
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Vigo,36211,Pontevedra,Vigo
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Granada,18005,Granada,Granada
Opel,Astra,Diésel,92297.0,136.0,manual,9990,Murcia,30005,Murcia,Murcia
Opel,Astra,Diésel,92297.0,136.0,manual,9890,Murcia,30005,Murcia,Murcia
Opel,Astra,Diésel,55233.0,136.0,manual,13990,Murcia,30005,Murcia,Murcia
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Murcia,30005,Murcia,Murcia
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Urbanizacion La Granjilla,28700,Madrid,Urbanizacion La Granjilla
Opel,Astra,Diésel,113674.0,110.0,manual,12990,Toledo,45002,Toledo,Toledo
Opel,Zafira,Diésel,189000.0,120.0,manual,3500,Sant Quirze del Vallès,8192,Barcelona,Sant Quirze del Vallès
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Las Rozas de Madrid,28232,Madrid,Las Rozas de Madrid
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Castello/Castellon de La Plana,12100,Castellón,Castello/Castellon de La Plana
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Colonia Pablo Iglesias,28520,Madrid,Colonia Pablo Iglesias
Opel,ADAM,Gasolina,40380.0,100.0,manual,12535,Alameda del Obispo,14005,Córdoba,Alameda del Obispo
Opel,ADAM,Gasolina,40380.0,100.0,manual,12535,Alcobendas,28100,Madrid,Alcobendas
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Hidraulica Santillana,28770,Madrid,Hidraulica Santillana
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Albacete,2001,Albacete,Albacete
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Alzira,46600,Valencia,Alzira
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Alzira,46600,Valencia,Alzira
Opel,ADAM,Gasolina,21349.0,87.0,manual,12420,Alicante,3007,Alicante,Alicante
Opel,ADAM,Gasolina,40380.0,100.0,manual,12535,Alcalá de Guadaíra,41500,Sevilla,Alcalá de Guadaíra
Opel,ADAM,Gasolina,40380.0,100.0,manual,12535,Castello/Castellon de La Plana,12100,Castellón,Castello/Castellon de La Plana
Opel,ADAM,Gasolina,40380.0,100.0,manual,12535,Las Rozas de Madrid,28232,Madrid,Las Rozas de Madrid
Opel,Vivaro,Diésel,25780.0,125.0,manual,24990,Tarragona,43006,Tarragona,Tarragona
Opel,Vivaro,Diésel,25780.0,125.0,manual,24990,Girona,17007,Girona,Girona
Opel,Vivaro,Diésel,25780.0,125.0,manual,24990,Palau-Solita I Plegamans,8184,Barcelona,Palau-Solita I Plegamans
Opel,Vivaro,Diésel,25780.0,125.0,manual,24990,Palau-Solita I Plegamans,8184,Barcelona,Palau-Solita I Plegamans
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Sevilla,41005,Sevilla,Sevilla
Opel,Corsa,Diésel,69942.0,95.0,manual,9490,Sevilla,41005,Sevilla,Sevilla
Opel,Corsa,Gasolina,50000.0,90.0,manual,11990,Sevilla,41005,Sevilla,Sevilla
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Sevilla,41005,Sevilla,Sevilla
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Alicante,3010,Alicante,Alicante
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Alicante,3010,Murcia,Alicante
Opel,Corsa,Diésel,69942.0,95.0,manual,9490,Alicante,3010,Alicante,Alicante
Opel,Corsa,Diésel,69942.0,95.0,manual,9490,Alicante,3010,Murcia,Alicante
Opel,Corsa,Gasolina,50000.0,90.0,manual,11990,Alicante,3010,Alicante,Alicante
Opel,Corsa,Gasolina,50000.0,90.0,manual,11990,Alicante,3010,Murcia,Alicante
Opel,Corsa,Gasolina,63692.0,90.0,manual,9990,Málaga,29005,Málaga,Málaga
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Alicante,3010,Alicante,Alicante
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Alicante,3010,Murcia,Alicante
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Bilbao,48004,Bizkaia,Bilbao
